COT-001,OPP-001,1,150000.00,"Modelado BIM Nivel 200, Metrados de Obra",3.5
COT-002,OPP-002,2,80000.00,"Elaboración de Planos As-Built, Compatibilización BIM",6.0
COT-003,OPP-003,1,25000.00,"Modelado de Estructuras, Renderizado 3D",2.0
COT-004,OPP-004,1,210000.00,"Consultoría VDC, Clash Detection Completo",4.5
COT-005,OPP-005,3,95000.00,"Análisis de Interferencias, Recorridos Virtuales",7.0
COT-006,OPP-006,1,12000.00,"Modelado de Instalaciones Eléctricas",1.5
COT-007,OPP-007,1,180000.00,"Diseño y Modelado BIM de Hospital",5.0
COT-008,OPP-008,2,75000.00,"Elaboración de FAMILIES BIM Mecánicas",3.0
COT-009,OPP-009,1,110000.00,"Modelado de Infraestructura Vial, Metrados BIM",6.5
COT-010,OPP-010,1,15000.00,"Capacitación BIM para Personal Técnico",1.0
COT-011,OPP-011,4,300000.00,"Gestión Documentaria VDC para Proyecto Grande",8.0
COT-012,OPP-012,1,30000.00,"Renderizado Arquitectónico y Animación",2.5
COT-013,OPP-013,1,130000.00,"Modelado BIM Nivel 300, Planificación 4D",4.0
COT-014,OPP-014,2,25000.00,"Elaboración de Planos de Detalle",3.0
COT-015,OPP-015,1,400000.00,"Modelado y Optimización de Planta Industrial",7.5
COT-016,OPP-016,1,12000.00,"Metrados de Acabados y Presupuesto Detallado",1.8
COT-017,OPP-017,3,85000.00,"Compatibilización de Especialidades, Informe Final",5.5
COT-018,OPP-018,1,45000.00,"Integración BIM-GIS para Servicios Públicos",3.5
COT-019,OPP-019,1,160000.00,"Consultoría en Implementación de Estándares BIM",6.0
COT-020,OPP-020,1,20000.00,"Modelado BIM para Exposición Histórica",2.0
COT-021,OPP-021,2,250000.00,"Análisis de Vialidad y Modelado de Puentes",4.5
COT-022,OPP-022,1,40000.00,"Diseño de Interiores y Modelado BIM",1.5
COT-023,OPP-023,1,140000.00,"Estudio de Factibilidad BIM para Nuevo Mall",7.0
COT-024,OPP-024,2,65000.00,"Recorridos Virtuales 360 y Plataforma Web",3.0
COT-025,OPP-025,1,500000.00,"Modelado y Análisis de Mina a Tajo Abierto",8.0
COT-026,OPP-026,1,15000.00,"Generación de Catálogo de Familias BIM",1.8
COT-027,OPP-027,3,90000.00,"Modelado y Metrados de Edificio Municipal",5.5
COT-028,OPP-028,1,50000.00,"Consultoría de Infraestructura para Data Center",3.5
COT-029,OPP-029,2,170000.00,"Diseño y Modelado de Tuberías Industriales",6.0
COT-030,OPP-030,1,25000.00,"Capacitación Avanzada en Revit",2.0
COT-031,OPP-031,1,350000.00,"Gestión BIM para Proyecto de Carretera",4.5
COT-032,OPP-032,1,35000.00,"Renderizado Foto-realista de Vivienda",1.5
COT-033,OPP-033,4,160000.00,"Modelado de Centro Comercial Existente",7.0
COT-034,OPP-034,1,55000.00,"Diseño BIM de Cocina Industrial",3.0
COT-035,OPP-035,2,450000.00,"Análisis de Interferencias en Refinería",8.0
COT-036,OPP-036,1,10000.00,"Metrados Preliminares de Obra Menor",1.8
COT-037,OPP-037,1,80000.00,"Modelado BIM de Centro de Salud Rural",5.5
COT-038,OPP-038,1,40000.00,"Implementación de Estándares BIM para Fibra Óptica",3.5
COT-039,OPP-039,3,190000.00,"Modelado de Subestación Eléctrica",6.0
COT-040,OPP-040,1,18000.00,"Capacitación a Docentes en Metodología BIM",2.0
COT-041,OPP-041,2,320000.00,"Gestión de Información BIM para Aeropuerto",4.5
COT-042,OPP-042,1,25000.00,"Diseño y Modelado de Fachadas",1.5
COT-043,OPP-043,1,170000.00,"Modelado de Tienda por Departamentos Existente",7.0
COT-044,OPP-044,1,75000.00,"Diseño BIM de Habitaciones de Lujo",3.0
COT-045,OPP-045,3,420000.00,"Modelado de Proceso Industrial Azucarero",8.0
COT-046,OPP-046,1,13000.00,"Renderizado 3D de Paisajismo",1.8
COT-047,OPP-047,1,95000.00,"Modelado de Proyecto de Agua y Saneamiento",5.5
COT-048,OPP-048,1,60000.00,"Consultoría BIM para Sistemas Cloud",3.5
COT-049,OPP-049,2,150000.00,"Diseño y Modelado de Plantas de Agua Embotelladora",6.0
COT-050,OPP-050,1,30000.00,"Modelado de Campus Universitario",2.0
COT-051,OPP-051,1,380000.00,"Gestión BIM para Proyecto de Vía Expresa",4.5
COT-052,OPP-052,1,28000.00,"Renderizado Arquitectónico y Animación de Interiores",1.5
COT-053,OPP-053,3,150000.00,"Modelado BIM de Complejo de Cines",7.0
COT-054,OPP-054,1,80000.00,"Diseño BIM de Resort Turístico",3.0
